,relationship,first_name,second_name,co_bills,co_bills_status,co_bills_total
25732,Delores KelleyKatie Hester,Delores Kelley,Katie Hester,"[1167969, 1182274, 1182332, 1185049, 1188981]","[1, 1, 1, 1, 1]",5
25731,Katie HesterMelony Griffith,Katie Hester,Melony Griffith,"[1188556, 1188667, 1198161, 1205210, 1210707]","[3, 3, 3, 3, 1]",5
12686,Kevin HornbergerSid Saab,Kevin Hornberger,Sid Saab,"[1184965, 1188596, 1196412, 1196745, 1196980]","[1, 3, 1, 1, 3]",5
4427,Ben BarnesMary Lehman,Ben Barnes,Mary Lehman,"[1180338, 1188770, 1196856, 1196569, 1196890]","[1, 3, 3, 1, 1]",5
8767,Erek BarronKriselda Valderrama,Erek Barron,Kriselda Valderrama,"[1194049, 1194119, 1196388, 1197003, 1196490]","[1, 1, 1, 1, 3]",5
10393,Lily QiTerri Hill,Lily Qi,Terri Hill,"[1196341, 1196767, 1196566, 1196497, 1196834]","[1, 2, 3, 1, 2]",5
24198,J.B. JenningsJustin Ready,J.B. Jennings,Justin Ready,"[1157067, 1164650, 1188686, 1200993, 1205393]","[1, 3, 3, 1, 1]",5
7206,Dan CoxTeresa Reilly,Dan Cox,Teresa Reilly,"[1196369, 1196387, 1196750, 1196587, 1196459]","[1, 1, 1, 1, 1]",5
1180,Eric LuedtkeVanessa Atterbeary,Eric Luedtke,Vanessa Atterbeary,"[1173040, 1191457, 1196415, 1196861, 1196693]","[3, 3, 3, 1, 3]",5
24468,Johnny SallingMary Carozza,Johnny Salling,Mary Carozza,"[1173140, 1184938, 1188777, 1210761, 1215367]","[2, 1, 1, 1, 1]",5
21130,Mark FisherWarren Miller,Mark Fisher,Warren Miller,"[1162797, 1162987, 1191475, 1191456, 1196706]","[1, 1, 1, 2, 1]",5
17665,Gabriel AceveroLily Qi,Gabriel Acevero,Lily Qi,"[1188957, 1196767, 1196497, 1196612, 1196609]","[1, 2, 1, 2, 1]",5
8717,Erek BarronJulian Ivey,Erek Barron,Julian Ivey,"[1180305, 1191482, 1196878, 1196388, 1196966]","[1, 1, 1, 1, 1]",5
25263,Edward ReillyPamela Beidle,Edward Reilly,Pamela Beidle,"[1180302, 1185041, 1188908, 1188792, 1199478]","[3, 1, 1, 1, 1]",5
17635,Gabriel AceveroGeraldine ValentinoSmith,Gabriel Acevero,Geraldine ValentinoSmith,"[1177530, 1188707, 1196449, 1196939, 1196609]","[1, 1, 3, 1, 1]",5
25858,Benjamin KramerKatherine Klausmeier,Benjamin Kramer,Katherine Klausmeier,"[1164726, 1168027, 1186606, 1188766, 1188652]","[3, 1, 1, 3, 1]",5
15004,April RoseMichael Malone,April Rose,Michael Malone,"[1184962, 1196508, 1196784, 1196947, 1196570]","[1, 1, 1, 1, 1]",5
7267,Dan CoxLauren Arikan,Dan Cox,Lauren Arikan,"[1188610, 1196453, 1196387, 1196587, 1196459]","[1, 1, 1, 1, 1]",5
24819,Joanne BensonWilliam Ferguson,Joanne Benson,William Ferguson,"[1173047, 1173029, 1182351, 1184986, 1188684]","[1, 1, 3, 3, 3]",5
1221,Kathleen DumaisVanessa Atterbeary,Kathleen Dumais,Vanessa Atterbeary,"[1162908, 1191524, 1196793, 1196472, 1196865]","[2, 2, 2, 2, 1]",5
5398,Karen YoungVaughn Stewart,Karen Young,Vaughn Stewart,"[1163037, 1168008, 1188881, 1196622, 1197011]","[1, 1, 2, 1, 1]",5
8326,Emily ShettyShelly Hettleman,Emily Shetty,Shelly Hettleman,"[1177697, 1191509, 1196532, 1196732, 1196383]","[1, 3, 3, 3, 3]",5
24195,J.B. JenningsJason Gallion,J.B. Jennings,Jason Gallion,"[1162264, 1182266, 1200993, 1203009, 1205362]","[3, 1, 1, 3, 3]",5
9594,Ken KerrSteve Johnson,Ken Kerr,Steve Johnson,"[1162784, 1185033, 1196486, 1196736, 1196555]","[3, 3, 3, 3, 1]",5
24564,Cory McCrayCraig Zucker,Cory McCray,Craig Zucker,"[1170628, 1173085, 1174946, 1184983, 1188953]","[3, 3, 4, 3, 3]",5
18413,Adrienne JonesJared Solomon,Adrienne Jones,Jared Solomon,"[1170297, 1180306, 1188924, 1194067, 1196811]","[3, 3, 3, 1, 3]",5
1218,Kirill ReznikVanessa Atterbeary,Kirill Reznik,Vanessa Atterbeary,"[1163076, 1196472, 1196861, 1196693, 1196390]","[1, 2, 1, 3, 3]",5
17132,Brian CrosbyMike Rogers,Brian Crosby,Mike Rogers,"[1182276, 1191491, 1191519, 1196447, 1205301]","[1, 3, 3, 1, 1]",5
24441,Benjamin KramerDouglas Peters,Benjamin Kramer,Douglas Peters,"[1172921, 1180395, 1184928, 1186606, 1188940]","[2, 1, 1, 1, 1]",5
25250,Edward ReillyJack Bailey,Edward Reilly,Jack Bailey,"[1177764, 1180342, 1188557, 1188611, 1188732]","[1, 3, 1, 2, 1]",5
18984,Edith PattersonNick Mosby,Edith Patterson,Nick Mosby,"[1184941, 1185042, 1196992, 1196561, 1208284]","[3, 3, 2, 1, 3]",5
24619,James RosapepeThomas Miller,James Rosapepe,Thomas Miller,"[1164702, 1186546, 1188650, 1188855, 1188785]","[3, 1, 1, 1, 2]",5
6184,Charles SydnorJazz Lewis,Charles Sydnor,Jazz Lewis,"[1135322, 1177686, 1194165, 1196985, 1196502]","[2, 1, 1, 3, 2]",5
6607,Jon CardinShelly Hettleman,Jon Cardin,Shelly Hettleman,"[1168015, 1184988, 1185038, 1196732, 1196442]","[3, 3, 1, 3, 3]",5
19554,Darryl BarnesEdith Patterson,Darryl Barnes,Edith Patterson,"[1177630, 1177626, 1191468, 1196193, 1208284]","[3, 2, 2, 3, 3]",5
25417,Bryan SimonaireJason Gallion,Bryan Simonaire,Jason Gallion,"[1151494, 1162264, 1182260, 1182266, 1184984]","[3, 3, 3, 1, 1]",5
11866,Eric LuedtkeKevin Hornberger,Eric Luedtke,Kevin Hornberger,"[1168018, 1180347, 1180312, 1184931, 1194042]","[1, 1, 1, 1, 1]",5
18508,Jessica FeldmarkLorig Charkoudian,Jessica Feldmark,Lorig Charkoudian,"[1157069, 1157076, 1177661, 1177555, 1196285]","[3, 3, 1, 4, 3]",5
6050,Brooke LiermanLuke Clippinger,Brooke Lierman,Luke Clippinger,"[1161285, 1188620, 1191531, 1191444, 1196306]","[3, 3, 3, 3, 1]",5
24941,Brian FeldmanThomas Miller,Brian Feldman,Thomas Miller,"[1182337, 1186546, 1188650, 1191529, 1229566]","[4, 1, 1, 3, 3]",5
17538,Adrienne JonesKirill Reznik,Adrienne Jones,Kirill Reznik,"[1162810, 1172929, 1172943, 1180306, 1194067]","[3, 1, 3, 3, 1]",5
15903,Alonzo WashingtonJulian Ivey,Alonzo Washington,Julian Ivey,"[1162894, 1170429, 1177575, 1196774, 1196451]","[3, 2, 1, 2, 3]",5
1020,Alonzo WashingtonEric Ebersole,Alonzo Washington,Eric Ebersole,"[1182335, 1188595, 1194196, 1196617, 1196774]","[1, 1, 1, 1, 2]",5
24365,George EdwardsMichael Hough,George Edwards,Michael Hough,"[1153908, 1153911, 1153907, 1188634, 1208130]","[3, 2, 1, 1, 1]",5
12533,Haven ShoemakerMatt Morgan,Haven Shoemaker,Matt Morgan,"[1191486, 1191481, 1191527, 1196396, 1196573]","[1, 1, 1, 1, 1]",5
9134,Joseline PenaMelnykKriselda Valderrama,Joseline PenaMelnyk,Kriselda Valderrama,"[1167990, 1194085, 1196273, 1196658, 1196490]","[3, 1, 3, 3, 3]",5
24361,George EdwardsMary Carozza,George Edwards,Mary Carozza,"[1175000, 1174982, 1184938, 1188890, 1210761]","[1, 1, 1, 1, 1]",5
24527,Andrew SerafiniChris West,Andrew Serafini,Chris West,"[1182281, 1182275, 1182287, 1182310, 1182299]","[1, 1, 2, 1, 2]",5
10831,Ariana KellySheree SampleHughes,Ariana Kelly,Sheree SampleHughes,"[1162960, 1188985, 1191503, 1196829, 1196372]","[3, 3, 3, 3, 1]",5
24979,Guy GuzzoneMary Washington,Guy Guzzone,Mary Washington,"[1180331, 1182316, 1184981, 1188799, 1188862]","[1, 1, 1, 1, 1]",5
491,Alfred CarrEmily Shetty,Alfred Carr,Emily Shetty,"[1180307, 1196336, 1196755, 1196996, 1196532]","[3, 1, 1, 1, 3]",5
25414,Jason GallionStephen Hershey,Jason Gallion,Stephen Hershey,"[1162264, 1182266, 1203009, 1229670, 1229663]","[3, 1, 3, 1, 1]",5
25802,Arthur EllisDelores Kelley,Arthur Ellis,Delores Kelley,"[1167969, 1167989, 1170646, 1180324, 1182312]","[1, 3, 2, 1, 1]",5
493,Alfred CarrErek Barron,Alfred Carr,Erek Barron,"[1135329, 1135300, 1168058, 1188810, 1196855]","[2, 3, 3, 3, 2]",5
4262,Jay JalisiPat Young,Jay Jalisi,Pat Young,"[1196868, 1196922, 1197023, 1196506, 1196950]","[2, 1, 1, 1, 1]",5
18499,Charlotte CrutchfieldLorig Charkoudian,Charlotte Crutchfield,Lorig Charkoudian,"[1157082, 1194158, 1194199, 1196285, 1196818]","[3, 2, 1, 3, 2]",5
18289,Elizabeth ProctorPamela Queen,Elizabeth Proctor,Pamela Queen,"[1177509, 1182288, 1196740, 1196488, 1229621]","[3, 1, 3, 1, 1]",5
17629,Gabriel AceveroLorig Charkoudian,Gabriel Acevero,Lorig Charkoudian,"[1157082, 1188641, 1196285, 1196209, 1196669]","[3, 3, 3, 1, 1]",5
7614,Charlotte CrutchfieldJazz Lewis,Charlotte Crutchfield,Jazz Lewis,"[1194192, 1194122, 1194199, 1196985, 1196502]","[3, 3, 1, 3, 2]",5
15613,April RoseDarryl Barnes,April Rose,Darryl Barnes,"[1197033, 1196883, 1196619, 1196947, 1196758]","[1, 1, 1, 1, 2]",5
11018,Jason BuckelSusan Krebs,Jason Buckel,Susan Krebs,"[1173007, 1180314, 1180391, 1196279, 1196176]","[1, 1, 3, 1, 1]",5
16447,Geraldine ValentinoSmithSandy Bartlett,Geraldine ValentinoSmith,Sandy Bartlett,"[1184923, 1188578, 1188916, 1196239, 1196875]","[1, 3, 3, 1, 1]",5
2118,Stephanie SmithTony Bridges,Stephanie Smith,Tony Bridges,"[1188747, 1188921, 1196610, 1196379, 1215410]","[3, 3, 2, 1, 3]",5
1017,Edith PattersonEric Ebersole,Edith Patterson,Eric Ebersole,"[1157085, 1167598, 1177630, 1177626, 1208284]","[3, 2, 3, 2, 3]",5
24996,Guy GuzzoneSarah Elfreth,Guy Guzzone,Sarah Elfreth,"[1182286, 1182262, 1188701, 1188937, 1188743]","[3, 1, 3, 3, 3]",5
5217,Dana SteinMichael Busch,Dana Stein,Michael Busch,"[1177683, 1188814, 1188713, 1188695, 1197029]","[4, 3, 2, 3, 1]",5
8383,Emily ShettyJen Terrasa,Emily Shetty,Jen Terrasa,"[1170376, 1177697, 1191509, 1196336, 1196532]","[1, 1, 3, 1, 3]",5
19211,Darryl BarnesGeraldine ValentinoSmith,Darryl Barnes,Geraldine ValentinoSmith,"[1180373, 1188888, 1191526, 1191467, 1196521]","[1, 1, 3, 3, 1]",5
19210,Geraldine ValentinoSmithJay Walker,Geraldine ValentinoSmith,Jay Walker,"[1161298, 1180373, 1180357, 1191526, 1196875]","[2, 1, 1, 3, 1]",5
18267,Edith PattersonPamela Queen,Edith Patterson,Pamela Queen,"[1188816, 1196193, 1196740, 1196488, 1208284]","[1, 3, 3, 1, 3]",5
10828,Ariana KellySusan Krebs,Ariana Kelly,Susan Krebs,"[1180391, 1188892, 1188590, 1191503, 1191492]","[3, 3, 1, 3, 4]",5
2487,Barrie CilibertiRic Metzgar,Barrie Ciliberti,Ric Metzgar,"[1196618, 1196631, 1196651, 1196640, 1196530]","[1, 1, 1, 1, 1]",5
10320,Michael BuschTerri Hill,Michael Busch,Terri Hill,"[1188814, 1188713, 1188695, 1197029, 1243029]","[3, 2, 3, 1, 3]",5
1022,Courtney WatsonEric Ebersole,Courtney Watson,Eric Ebersole,"[1157085, 1167598, 1177494, 1182311, 1182335]","[3, 2, 1, 3, 1]",5
7607,Jazz LewisKathleen Dumais,Jazz Lewis,Kathleen Dumais,"[1196233, 1196231, 1196793, 1197015, 1196502]","[2, 2, 2, 1, 2]",5
13949,Bob LongJason Buckel,Bob Long,Jason Buckel,"[1180314, 1196279, 1196552, 1196176, 1196906]","[1, 1, 1, 1, 1]",5
15050,Mark FisherMichael Malone,Mark Fisher,Michael Malone,"[1184962, 1191456, 1196936, 1196972, 1196706]","[1, 2, 1, 1, 1]",5
8863,Benjamin BrooksKaren Young,Benjamin Brooks,Karen Young,"[1163050, 1163037, 1162921, 1191518, 1196769]","[3, 1, 3, 1, 3]",5
3979,Jay JacobsMatt Morgan,Jay Jacobs,Matt Morgan,"[1177526, 1191486, 1191481, 1191527, 1196660]","[3, 1, 1, 1, 1]",5
12055,Gabriel AceveroHarry Bhandari,Gabriel Acevero,Harry Bhandari,"[1196939, 1196901, 1196809, 1196432, 1196612]","[1, 2, 1, 2, 2]",5
14709,April RoseTrent Kittleman,April Rose,Trent Kittleman,"[1196364, 1196784, 1196619, 1196947, 1196403]","[1, 1, 1, 1, 1]",5
11010,Sid SaabSusan Krebs,Sid Saab,Susan Krebs,"[1180391, 1182283, 1188892, 1191492, 1196745]","[3, 1, 3, 4, 1]",5
9106,Charlotte CrutchfieldJoseline PenaMelnyk,Charlotte Crutchfield,Joseline PenaMelnyk,"[1167990, 1177690, 1194199, 1196273, 1196658]","[3, 3, 1, 3, 3]",5
16027,Julie Palakovich CarrLorig Charkoudian,Julie Palakovich Carr,Lorig Charkoudian,"[1157069, 1177647, 1188896, 1196285, 1196719]","[3, 1, 1, 3, 3]",5
25170,Katherine KlausmeierMary Washington,Katherine Klausmeier,Mary Washington,"[1164646, 1168027, 1184973, 1188724, 1188652]","[3, 1, 1, 3, 1]",5
25485,Jeff WaldstreicherMichael Hough,Jeff Waldstreicher,Michael Hough,"[1164626, 1167991, 1182328, 1188817, 1188741]","[2, 3, 3, 1, 1]",5
9105,Jheanelle WilkinsJoseline PenaMelnyk,Jheanelle Wilkins,Joseline PenaMelnyk,"[1157083, 1167990, 1177690, 1188645, 1196273]","[3, 3, 3, 3, 3]",5
6073,Brooke LiermanJen Terrasa,Brooke Lierman,Jen Terrasa,"[1161306, 1161285, 1188620, 1191485, 1196667]","[1, 3, 3, 3, 1]",5
12880,Shelly HettlemanWanika Fisher,Shelly Hettleman,Wanika Fisher,"[1180358, 1196260, 1196732, 1196383, 1196442]","[1, 2, 3, 3, 3]",5
25505,Justin ReadyRobert Zirkin,Justin Ready,Robert Zirkin,"[1151488, 1164650, 1170645, 1170631, 1188967]","[3, 3, 2, 3, 3]",5
9099,Joseline PenaMelnykKathleen Dumais,Joseline PenaMelnyk,Kathleen Dumais,"[1162757, 1167990, 1196793, 1196273, 1196658]","[1, 3, 2, 3, 3]",5
12870,Gabriel AceveroShelly Hettleman,Gabriel Acevero,Shelly Hettleman,"[1196607, 1196629, 1196432, 1196612, 1196609]","[3, 3, 2, 2, 1]",5
12877,Lorig CharkoudianShelly Hettleman,Lorig Charkoudian,Shelly Hettleman,"[1157076, 1157082, 1196285, 1196732, 1196442]","[3, 3, 3, 3, 3]",5
13950,Jason BuckelMichael Malone,Jason Buckel,Michael Malone,"[1180314, 1184962, 1196279, 1196737, 1196374]","[1, 1, 1, 1, 1]",5
10859,Ariana KellyJulian Ivey,Ariana Kelly,Julian Ivey,"[1182324, 1191482, 1191512, 1191504, 1196829]","[2, 1, 1, 1, 3]",5
19680,Joseph BotelerNino Mangione,Joseph Boteler,Nino Mangione,"[1188876, 1197000, 1196623, 1205523, 1209476]","[1, 1, 1, 1, 1]",5
7003,Jason BuckelPaul Corderman,Jason Buckel,Paul Corderman,"[1180314, 1196279, 1196657, 1196821, 1196978]","[1, 1, 1, 1, 1]",5
17531,Kirill ReznikKriselda Valderrama,Kirill Reznik,Kriselda Valderrama,"[1163076, 1172929, 1172943, 1197003, 1196490]","[1, 1, 3, 1, 3]",5
13206,Joseph BotelerRobin Grammer,Joseph Boteler,Robin Grammer,"[1172914, 1197000, 1196952, 1196544, 1196556]","[1, 1, 1, 1, 1]",5
495,Alfred CarrJoseline PenaMelnyk,Alfred Carr,Joseline PenaMelnyk,"[1135329, 1162757, 1196273, 1196658, 1196684]","[2, 1, 3, 3, 2]",5
12894,Jen TerrasaShelly Hettleman,Jen Terrasa,Shelly Hettleman,"[1184988, 1196607, 1196629, 1196732, 1196442]","[3, 3, 3, 3, 3]",5
24283,Adelaide EckardtGeorge Edwards,Adelaide Eckardt,George Edwards,"[1135006, 1174982, 1188992, 1188808, 1188727]","[2, 1, 1, 1, 1]",5
24554,Cheryl KaganCraig Zucker,Cheryl Kagan,Craig Zucker,"[1174961, 1180362, 1184983, 1188755, 1188647]","[3, 3, 3, 1, 3]",5
16034,Anne KaiserJulie Palakovich Carr,Anne Kaiser,Julie Palakovich Carr,"[1170232, 1191478, 1196719, 1196837, 1196873]","[3, 1, 3, 3, 3]",5
10833,Ariana KellyEric Luedtke,Ariana Kelly,Eric Luedtke,"[1168018, 1173040, 1177654, 1191443, 1196829]","[1, 3, 1, 1, 3]",5
503,Alfred CarrShane Pendergrass,Alfred Carr,Shane Pendergrass,"[1135329, 1180303, 1191508, 1191505, 1194178]","[2, 2, 3, 3, 3]",5
9119,Joseline PenaMelnykVeronica Turner,Joseline PenaMelnyk,Veronica Turner,"[1162757, 1167990, 1177690, 1196273, 1196658]","[1, 3, 3, 3, 3]",5
9117,Edith PattersonJoseline PenaMelnyk,Edith Patterson,Joseline PenaMelnyk,"[1162757, 1177690, 1196193, 1196273, 1196658]","[1, 3, 3, 3, 3]",5
25815,Melony GriffithNancy King,Melony Griffith,Nancy King,"[1167968, 1167984, 1194147, 1198161, 1205210]","[3, 1, 3, 3, 3]",5
5596,Melissa WellsRobbyn Lewis,Melissa Wells,Robbyn Lewis,"[1163011, 1194057, 1196195, 1196662, 1196777]","[3, 1, 1, 1, 3]",5
9045,Joseline PenaMelnykKen Kerr,Joseline PenaMelnyk,Ken Kerr,"[1162757, 1185033, 1196273, 1196658, 1196684]","[1, 3, 3, 3, 2]",5
13947,Jason BuckelSeth Howard,Jason Buckel,Seth Howard,"[1196476, 1196802, 1196921, 1196707, 1196912]","[3, 1, 1, 1, 3]",5
9113,Darryl BarnesJoseline PenaMelnyk,Darryl Barnes,Joseline PenaMelnyk,"[1167990, 1177690, 1191468, 1196273, 1196658]","[3, 3, 2, 3, 3]",5
24333,Adelaide EckardtKatherine Klausmeier,Adelaide Eckardt,Katherine Klausmeier,"[1168027, 1184973, 1188992, 1188767, 1188652]","[1, 1, 1, 2, 1]",5
4576,Emily ShettySara Love,Emily Shetty,Sara Love,"[1170376, 1182349, 1191509, 1191459, 1196336]","[1, 3, 3, 1, 1]",5
25005,Arthur EllisGuy Guzzone,Arthur Ellis,Guy Guzzone,"[1188597, 1188799, 1188794, 1208244, 1208135]","[3, 1, 1, 1, 1]",5
16019,Julie Palakovich CarrKirill Reznik,Julie Palakovich Carr,Kirill Reznik,"[1162718, 1162810, 1163076, 1172943, 1196390]","[1, 3, 1, 3, 3]",5
8958,Adrienne JonesBenjamin Brooks,Adrienne Jones,Benjamin Brooks,"[1188932, 1188925, 1188924, 1196769, 1208202]","[2, 1, 3, 3, 3]",5
19995,Alonzo WashingtonEdith Patterson,Alonzo Washington,Edith Patterson,"[1162894, 1177630, 1177626, 1194196, 1208284]","[3, 3, 2, 1, 3]",5
14452,Kevin HornbergerWendell Beitzel,Kevin Hornberger,Wendell Beitzel,"[1180347, 1180312, 1184965, 1188596, 1196156]","[1, 1, 1, 3, 2]",5
25155,Mary WashingtonPamela Beidle,Mary Washington,Pamela Beidle,"[1180331, 1185041, 1184981, 1203014, 1212824]","[1, 1, 1, 3, 3]",5
7940,Susan KrebsSusan McComas,Susan Krebs,Susan McComas,"[1173007, 1180391, 1196172, 1196904, 1196564]","[1, 3, 1, 1, 3]",5
2458,Barrie CilibertiWilliam Wivell,Barrie Ciliberti,William Wivell,"[1177622, 1196618, 1196631, 1196640, 1196530]","[1, 1, 1, 1, 1]",5
19327,Anne KaiserJessica Feldmark,Anne Kaiser,Jessica Feldmark,"[1170232, 1177555, 1196796, 1196837, 1196873]","[3, 4, 3, 3, 3]",5
7795,Gabriel AceveroLesley Lopez,Gabriel Acevero,Lesley Lopez,"[1167975, 1196669, 1196848, 1196612, 1196609]","[1, 1, 3, 2, 1]",5
8174,David MoonKathleen Dumais,David Moon,Kathleen Dumais,"[1162908, 1163000, 1196793, 1197015, 1196579]","[2, 1, 2, 1, 1]",5
24404,Brian FeldmanDouglas Peters,Brian Feldman,Douglas Peters,"[1182337, 1188672, 1188778, 1188567, 1191529]","[4, 3, 3, 3, 3]",5
1900,Regina BoyceStephanie Smith,Regina Boyce,Stephanie Smith,"[1188747, 1188921, 1196428, 1196610, 1215410]","[3, 3, 2, 2, 3]",5
16609,Alice CainC.T. Wilson,Alice Cain,C.T. Wilson,"[1185031, 1194064, 1196411, 1196554, 1196507]","[3, 2, 1, 1, 1]",5
9241,Harry BhandariRobbyn Lewis,Harry Bhandari,Robbyn Lewis,"[1180380, 1196578, 1196901, 1196809, 1214078]","[3, 2, 2, 1, 3]",5
8305,Emily ShettyRobbyn Lewis,Emily Shetty,Robbyn Lewis,"[1170376, 1177697, 1177558, 1191509, 1196336]","[1, 1, 2, 3, 1]",5
6001,Brooke LiermanTerri Hill,Brooke Lierman,Terri Hill,"[1161285, 1170283, 1182341, 1188620, 1196813]","[3, 3, 3, 3, 1]",5
13170,Michael MaloneRobin Grammer,Michael Malone,Robin Grammer,"[1172914, 1184962, 1196952, 1196544, 1196556]","[1, 1, 1, 1, 1]",5
10524,Kirill ReznikShane Pendergrass,Kirill Reznik,Shane Pendergrass,"[1162850, 1180303, 1191508, 1194178, 1196390]","[1, 2, 3, 3, 3]",5
3598,Anne HealeyTawanna Gaines,Anne Healey,Tawanna Gaines,"[1168005, 1168037, 1188678, 1188795, 1196568]","[1, 1, 1, 3, 1]",5
11749,Kathy SzeligaWendell Beitzel,Kathy Szeliga,Wendell Beitzel,"[1196359, 1196156, 1196340, 1196534, 1196653]","[1, 2, 1, 1, 1]",5
5992,Brooke LiermanErek Barron,Brooke Lierman,Erek Barron,"[1161306, 1161285, 1180305, 1188620, 1188574]","[1, 3, 1, 3, 1]",5
25619,Antonio HayesBenjamin Kramer,Antonio Hayes,Benjamin Kramer,"[1182354, 1186606, 1188766, 1188868, 1188621]","[3, 1, 3, 3, 3]",5
12874,Maggie McIntoshShelly Hettleman,Maggie McIntosh,Shelly Hettleman,"[1177673, 1184967, 1196383, 1196442, 1223521]","[3, 3, 3, 3, 3]",5
9084,Joseline PenaMelnykJulian Ivey,Joseline PenaMelnyk,Julian Ivey,"[1167990, 1177690, 1191482, 1196273, 1196658]","[3, 3, 1, 3, 3]",5
24883,Katherine KlausmeierRonald Young,Katherine Klausmeier,Ronald Young,"[1164714, 1164726, 1168027, 1180337, 1188652]","[3, 3, 1, 1, 1]",5
5460,Nick MosbyVaughn Stewart,Nick Mosby,Vaughn Stewart,"[1184941, 1188763, 1194186, 1196561, 1197011]","[3, 1, 1, 1, 1]",5
8350,Emily ShettySandy Bartlett,Emily Shetty,Sandy Bartlett,"[1170376, 1191509, 1196971, 1196723, 1196835]","[1, 3, 1, 1, 2]",5
787,Geraldine ValentinoSmithMark Chang,Geraldine ValentinoSmith,Mark Chang,"[1188707, 1196239, 1196547, 1196875, 1203021]","[1, 1, 1, 1, 1]",5
7566,Eric LuedtkeJazz Lewis,Eric Luedtke,Jazz Lewis,"[1161330, 1173040, 1173159, 1194042, 1196502]","[1, 3, 3, 1, 2]",5
8,Regina BoyceStephen Lafferty,Regina Boyce,Stephen Lafferty,"[1161287, 1182322, 1185044, 1184980, 1198155]","[2, 1, 1, 1, 2]",5
18860,Geraldine ValentinoSmithWanika Fisher,Geraldine ValentinoSmith,Wanika Fisher,"[1170256, 1177473, 1180373, 1180358, 1196393]","[2, 1, 1, 1, 3]",5
25325,Chris WestJack Bailey,Chris West,Jack Bailey,"[1168036, 1177764, 1182281, 1182310, 1182304]","[1, 1, 1, 1, 1]",5
25153,Mary WashingtonRobert Zirkin,Mary Washington,Robert Zirkin,"[1151488, 1170645, 1188841, 1188967, 1205125]","[3, 2, 3, 3, 2]",5
7783,Julie Palakovich CarrLesley Lopez,Julie Palakovich Carr,Lesley Lopez,"[1167975, 1177647, 1177582, 1188896, 1194109]","[1, 1, 3, 1, 1]",5
5986,Brooke LiermanJazz Lewis,Brooke Lierman,Jazz Lewis,"[1188574, 1196535, 1196985, 1196502, 1196667]","[1, 3, 3, 2, 1]",5
11896,Eric LuedtkeLorig Charkoudian,Eric Luedtke,Lorig Charkoudian,"[1173040, 1191443, 1194042, 1196285, 1196209]","[3, 1, 1, 3, 1]",5
3544,Anne HealeyKaren Young,Anne Healey,Karen Young,"[1163050, 1163037, 1162921, 1188869, 1191518]","[3, 1, 3, 1, 1]",5
5462,Geraldine ValentinoSmithVaughn Stewart,Geraldine ValentinoSmith,Vaughn Stewart,"[1170244, 1170256, 1177530, 1180373, 1191467]","[1, 2, 1, 1, 3]",5
4978,Neil ParrottPaul Corderman,Neil Parrott,Paul Corderman,"[1196657, 1196424, 1197010, 1196866, 1196782]","[1, 1, 1, 1, 1]",5
1157,Lesley LopezVanessa Atterbeary,Lesley Lopez,Vanessa Atterbeary,"[1167975, 1196472, 1196861, 1196693, 1196848]","[1, 2, 1, 3, 3]",5
3160,James GilchristJulie Palakovich Carr,James Gilchrist,Julie Palakovich Carr,"[1173059, 1177647, 1188896, 1196941, 1196419]","[3, 1, 1, 3, 1]",5
20320,Alonzo WashingtonDiana Fennell,Alonzo Washington,Diana Fennell,"[1162894, 1168060, 1170429, 1196455, 1196451]","[3, 4, 2, 1, 3]",5
1824,Joseline PenaMelnykRegina Boyce,Joseline PenaMelnyk,Regina Boyce,"[1167990, 1177690, 1196273, 1196658, 1196428]","[3, 3, 3, 3, 2]",5
25092,Benjamin KramerClarence Lam,Benjamin Kramer,Clarence Lam,"[1172921, 1180395, 1186606, 1188791, 1188751]","[2, 1, 1, 3, 1]",5
25163,Arthur EllisMary Washington,Arthur Ellis,Mary Washington,"[1180331, 1188597, 1188794, 1208244, 1208135]","[1, 3, 1, 1, 1]",5
10368,Jessica FeldmarkTerri Hill,Jessica Feldmark,Terri Hill,"[1177555, 1182341, 1196813, 1196566, 1196834]","[4, 3, 1, 3, 2]",5
25352,Jason GallionMary Carozza,Jason Gallion,Mary Carozza,"[1162264, 1173140, 1182266, 1184938, 1210761]","[3, 2, 1, 1, 1]",5
12350,Brian ChisholmSid Saab,Brian Chisholm,Sid Saab,"[1180344, 1196550, 1196745, 1196529, 1229676]","[1, 1, 1, 3, 1]",5
25795,Katherine KlausmeierPaul Pinsky,Katherine Klausmeier,Paul Pinsky,"[1168027, 1186528, 1186609, 1186583, 1173010]","[1, 3, 3, 1, 1]",5
17500,Jared SolomonKirill Reznik,Jared Solomon,Kirill Reznik,"[1162718, 1163076, 1172929, 1172943, 1196390]","[1, 1, 1, 3, 3]",5
24591,Arthur EllisCraig Zucker,Arthur Ellis,Craig Zucker,"[1182263, 1188597, 1188712, 1188794, 1208244]","[1, 3, 3, 1, 1]",5
9051,Joseline PenaMelnykSteve Johnson,Joseline PenaMelnyk,Steve Johnson,"[1162757, 1196273, 1196658, 1196684, 1196736]","[1, 3, 3, 2, 3]",5
25560,Chris WestWilliam Smith,Chris West,William Smith,"[1168029, 1180389, 1180298, 1184994, 1188626]","[3, 1, 3, 1, 3]",5
24635,James RosapepeWilliam Smith,James Rosapepe,William Smith,"[1168029, 1180322, 1180329, 1184994, 1186537]","[3, 3, 1, 1, 1]",5
